Question	Answer	Source	Metadata
What is absolute poverty?	Absolute poverty is the condition of having too little income to buy the necessities-- food, shelter, clothing, health care.	Study Sociology.tsv	
Poverty	Absolute poverty is the condition of having too little income to buy the necessities-- food, shelter, clothing, health care.	Study Sociology.tsv	
What is affirmative action?	Affirmative action is the requirement that employers make special efforts to recruits hire and promote qualified members of previously excluded groups including women and minorities.	Study Sociology.tsv	
Equal rights	Affirmative action is the requirement that employers make special efforts to recruits hire and promote qualified members of previously excluded groups including women and minorities.	Study Sociology.tsv	
What is alienation?	Alienation is the separation or estrangement of individuals from themselves and from others.	Study Sociology.tsv	
alienated	Alienation is the separation or estrangement of individuals from themselves and from others.	Study Sociology.tsv	
What is Apartheid?	Apartheid is the recent policy of racial separation in South Africa enforced by legal political and military power.	Study Sociology.tsv	
South Africa	Apartheid is the recent policy of racial separation in South Africa enforced by legal political and military power.	Study Sociology.tsv	
Apartheid	Apartheid is the recent policy of racial separation in South Africa enforced by legal political and military power.	Study Sociology.tsv	
What is bicultural?	Bicultural is the capacity to understand and function well in more than one cultural group.	Study Sociology.tsv	
Two cultures	Bicultural is the capacity to understand and function well in more than one cultural group.	Study Sociology.tsv	
2 cultures	Bicultural is the capacity to understand and function well in more than one cultural group.	Study Sociology.tsv	
sociology	Let's study sociology! Type in a sociology word(s), and a definition will be returned. For example, type "absolute poverty".	Study Sociology.tsv	
let's study sociology	Let's study sociology! Type in a sociology word(s), and a definition will be returned. For example, type "absolute poverty".	Study Sociology.tsv	
time for sociology	Let's study sociology! Type in a sociology word(s), and a definition will be returned. For example, type "absolute poverty".	Study Sociology.tsv	
next up, sociology	Let's study sociology! Type in a sociology word(s), and a definition will be returned. For example, type "absolute poverty".	Study Sociology.tsv	
study sociology	Let's study sociology! Type in a sociology word(s), and a definition will be returned. For example, type "absolute poverty".	Study Sociology.tsv	
i want to study sociology	Let's study sociology! Type in a sociology word(s), and a definition will be returned. For example, type "absolute poverty".	Study Sociology.tsv	
What is a minority?	Minorities are people who possess some distinctive physical or cultural characteristics, are dominated by the majority, and are denied equal treatment.	Study Sociology.tsv	
minority	Minorities are people who possess some distinctive physical or cultural characteristics, are dominated by the majority, and are denied equal treatment.	Study Sociology.tsv	
What is cultural pluralism?	Cultural pluralism is a pattern of assimilation where immigrants are allowed to maintain their traditional cultural ways while at the same time learning the values and norms of the host culture.	Study Sociology.tsv	
What is a stereotype?	A stereotype is an over-generalized belief about a category of people. Stereotyping is, for example, believing that "all politicians are corrupt".	Study Sociology.tsv	
