Question	Answer	Source	Metadata
What is magnitude?	Magnitude is the strength of an earthquake.	Study Geology.tsv	
magnitude	Magnitude is the strength of an earthquake.	Study Geology.tsv	
What is magma?	Magma, also known as lava, is molten rock that triggers earthquakes and creates volcanoes as it rises within the Earth.	Study Geology.tsv	
rising lava	Magma, also known as lava, is molten rock that triggers earthquakes and creates volcanoes as it rises within the Earth.	Study Geology.tsv	
lava	Magma, also known as lava, is molten rock that triggers earthquakes and creates volcanoes as it rises within the Earth.	Study Geology.tsv	
What is a metamorphic rock?	A metamorphic rock is a rock formed when another rock is changed by extreme heat or pressure.	Study Geology.tsv	
pressured rock	A metamorphic rock is a rock formed when another rock is changed by extreme heat or pressure.	Study Geology.tsv	
metamorphic	A metamorphic rock is a rock formed when another rock is changed by extreme heat or pressure.	Study Geology.tsv	
What is an epoch?	An epoch is a subdivision of a period.	Study Geology.tsv	
time	An epoch is a subdivision of a period.	Study Geology.tsv	
epoch	An epoch is a subdivision of a period.	Study Geology.tsv	
What is an era?	An era is a subdivision of the geologic time scale.	Study Geology.tsv	
time	An era is a subdivision of the geologic time scale.	Study Geology.tsv	
era	An era is a subdivision of the geologic time scale.	Study Geology.tsv	
What is a period?	A period is a subdivision of an era.	Study Geology.tsv	
time	A period is a subdivision of an era.	Study Geology.tsv	
period	A period is a subdivision of an era.	Study Geology.tsv	
geology	Let's study geology! Type in a geology word(s) and a definition will be returned. For example, type "lava".	Study Geology.tsv	
let's study geology	Let's study geology! Type in a geology word(s) and a definition will be returned. For example, type "lava".	Study Geology.tsv	
time for geology	Let's study geology! Type in a geology word(s) and a definition will be returned. For example, type "lava".	Study Geology.tsv	
i want to study geology	Let's study geology! Type in a geology word(s) and a definition will be returned. For example, type "lava".	Study Geology.tsv	
study geology	Let's study geology! Type in a geology word(s) and a definition will be returned. For example, type "lava".	Study Geology.tsv	
geo	Let's study geology! Type in a geology word(s) and a definition will be returned. For example, type "lava".	Study Geology.tsv	
