Question	Answer	Source	Metadata
Biology	Let's study biology! Type in what you want to study, and a definition will be returned. For example, type "virus".	StudyBiology.txt	
bio	Let's study biology! Type in what you want to study, and a definition will be returned. For example, type "virus".	StudyBiology.txt	
time for biology	Let's study biology! Type in what you want to study, and a definition will be returned. For example, type "virus".	StudyBiology.txt	
let's study biology	Let's study biology! Type in what you want to study, and a definition will be returned. For example, type "virus".	StudyBiology.txt	
study biology	Let's study biology! Type in what you want to study, and a definition will be returned. For example, type "virus".	StudyBiology.txt	
What is a virus?	A virus is an infective agent that typically consists of a nucleic acid molecule in a protein coat, is too small to be seen by light microscopy, and can multiply only within the living cells of a host.	StudyBiology.txt	
bug\n	A virus is an infective agent that typically consists of a nucleic acid molecule in a protein coat, is too small to be seen by light microscopy, and can multiply only within the living cells of a host.	StudyBiology.txt	
What are bacteria?	Bacteria are a group of microorganisms that can live in soil, water, or parasites of plants or animals.	StudyBiology.txt	
bug	Bacteria are a group of microorganisms that can live in soil, water, or parasites of plants or animals.	StudyBiology.txt	
What is a parasite?	A parasite is an organism that lives in or on an organism of another species (its host) and benefits by deriving nutrients at the other's expense.	StudyBiology.txt	
bug	A parasite is an organism that lives in or on an organism of another species (its host) and benefits by deriving nutrients at the other's expense.	StudyBiology.txt	
What is asexual reproduction?	Sexual reproduction is the creation of genetically identical offspring by a single parent.	StudyBiology.txt	
sex	Sexual reproduction is the creation of genetically identical offspring by a single parent.	StudyBiology.txt	
asexual	Sexual reproduction is the creation of genetically identical offspring by a single parent.	StudyBiology.txt	
asexual reproduction	Sexual reproduction is the creation of genetically identical offspring by a single parent.	StudyBiology.txt	
reproduction	Sexual reproduction is the creation of genetically identical offspring by a single parent.	StudyBiology.txt	
What is sexual reproduction?	Sexual reproduction is a process by which two individuals produce offspring with genetic traits from both parents. It involves the union of gametes.	StudyBiology.txt	
sex	Sexual reproduction is a process by which two individuals produce offspring with genetic traits from both parents. It involves the union of gametes.	StudyBiology.txt	
sexual reproduction	Sexual reproduction is a process by which two individuals produce offspring with genetic traits from both parents. It involves the union of gametes.	StudyBiology.txt	
sexual	Sexual reproduction is a process by which two individuals produce offspring with genetic traits from both parents. It involves the union of gametes.	StudyBiology.txt	
reproduction	Sexual reproduction is a process by which two individuals produce offspring with genetic traits from both parents. It involves the union of gametes.	StudyBiology.txt	
What is cancer?	Cancer is a malignant growth or tumor caused by abnormal and uncontrolled cell division.	StudyBiology.txt	
tumor	Cancer is a malignant growth or tumor caused by abnormal and uncontrolled cell division.	StudyBiology.txt	
What is the blood brain barrier?	The blood brain barrier is a filtering mechanism of the capillaries that carry blood to the brain and spinal cord tissue, blocking the passage of certain substances.	StudyBiology.txt	
blood brain	The blood brain barrier is a filtering mechanism of the capillaries that carry blood to the brain and spinal cord tissue, blocking the passage of certain substances.	StudyBiology.txt	
blood brain barrier	The blood brain barrier is a filtering mechanism of the capillaries that carry blood to the brain and spinal cord tissue, blocking the passage of certain substances.	StudyBiology.txt	
blood	The blood brain barrier is a filtering mechanism of the capillaries that carry blood to the brain and spinal cord tissue, blocking the passage of certain substances.	StudyBiology.txt	
brain	The blood brain barrier is a filtering mechanism of the capillaries that carry blood to the brain and spinal cord tissue, blocking the passage of certain substances.	StudyBiology.txt	
